"date","pressure_mean","pressure_min","pressure_max","data_points"
"2017-10-01",1020.3,1018.7,1023.2,24
"2017-10-02",1023,1021.3,1025,24
"2017-10-03",1020.6,1018.1,1022.4,24
"2017-10-04",1021,1019.5,1022.8,24
"2017-10-05",1014.5,1011,1020,24
"2017-10-06",1015.6,1011.3,1022.2,24
"2017-10-07",1022.2,1021.1,1023.6,24
"2017-10-08",1015.4,1009.9,1021.5,24
"2017-10-09",1009,1005.1,1014.3,24
"2017-10-10",1016.9,1014.3,1019.2,24
"2017-10-11",1012.2,1004.1,1018.5,24
"2017-10-12",1009.3,1001.6,1016.8,24
"2017-10-13",1017.6,1015.7,1021.5,24
"2017-10-14",1024,1021.4,1026,24
"2017-10-15",1024.9,1023.8,1026.5,24
"2017-10-16",1026.5,1025.3,1028.1,24
"2017-10-17",1026.1,1024.4,1027.5,24
"2017-10-18",1024.8,1022.7,1026.9,24
"2017-10-19",1019.2,1016,1022.9,24
"2017-10-20",1021.2,1017.6,1025.2,24
"2017-10-21",1020.9,1017.7,1024.9,24
"2017-10-22",1014.9,1012.9,1016.9,24
"2017-10-23",1017.1,1015.5,1018.5,24
"2017-10-24",1015.8,1013.8,1018.1,24
"2017-10-25",1011.9,1009.5,1014.9,24
"2017-10-26",1007.9,1005.1,1011.2,24
"2017-10-27",1010.7,1008.3,1011.9,24
"2017-10-28",1008.2,1006,1011,24
"2017-10-29",1004,1000.7,1007.4,24
"2017-10-30",1004.2,999.6,1012.5,24
"2017-10-31",1014.1,1011.8,1015.9,24
"2017-11-01",1011.8,1009.1,1014.7,24
"2017-11-02",1013.1,1012,1015.1,24
"2017-11-03",1011.7,1009.1,1016.5,24
"2017-11-04",1019,1016.4,1021.6,24
"2017-11-05",1021.2,1018.8,1023.3,24
"2017-11-06",1010.2,1005.5,1018.1,24
"2017-11-07",1016.1,1010.4,1023.4,24
"2017-11-08",1025.7,1023.4,1027.2,24
"2017-11-09",1026.3,1025.1,1027.7,24
"2017-11-10",1027.6,1026.7,1028.7,24
"2017-11-11",1026.1,1024.5,1027.5,24
"2017-11-12",1024.2,1023,1025.4,24
"2017-11-13",1023.3,1022,1024.7,24
"2017-11-14",1021.2,1019.3,1023,24
"2017-11-15",1016.5,1013.4,1019.5,24
"2017-11-16",1014.1,1013,1016.5,24
"2017-11-17",1017.6,1015.4,1019.6,24
"2017-11-18",1020.7,1018.3,1022.6,24
"2017-11-19",1023.9,1022.2,1025.6,24
"2017-11-20",1025.2,1024.3,1026.7,24
"2017-11-21",1023.7,1022.2,1025.3,24
"2017-11-22",1019.5,1017.3,1021.8,24
"2017-11-23",1015.2,1013,1017.1,24
"2017-11-24",1015,1013.7,1016.9,24
"2017-11-25",1016.8,1015.4,1017.9,24
"2017-11-26",1015.3,1014,1017.4,24
"2017-11-27",1015.1,1013.1,1018.1,24
"2017-11-28",1019.3,1017.1,1021.1,24
"2017-11-29",1019.2,1017.4,1020.8,24
"2017-11-30",1015.6,1013,1018.5,24
"2017-12-01",1010,1006.9,1012.9,24
"2017-12-02",1001.5,997.8,1006.9,24
"2017-12-03",1004.7,998.9,1010.7,24
