% Device,CC1449004
% File name,CC1449004_20161028_010257
% Cast time (UTC),2016-10-28 01:02:57
% Cast time (local),2016-10-28 12:02:57
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-36.19003
% Start longitude,150.2199195
% Start altitude,17.459999084472656
% Start GPS horizontal error(Meter),2.3299999237060547
% Start GPS vertical error(Meter),2.690000057220459
% Start GPS number of satellites,6
% End latitude,-36.1898784
% End longitude,150.2199023
% End altitude,14
% End GPS horizontal error(Meter),2.7699999809265137
% End GPS vertical error(Meter),3.8599998950958252
% End GPS number of satellites,6
% Cast duration (Seconds),144.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2015-01-26
% Temperature calibration date,2015-01-26
% Pressure calibration date,2015-01-12
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1492847157827929,16.981452941894531,44808.2421875,53366.712021041712,34.937543188230812,1512.7048035601206,1025.4723513944712
0.44999999999999996,0.44783742850130681,16.868271975877,44774.14806569527,53470.260357882129,35.006181580589242,1512.4484913275705,1025.553197286742
0.74999999999999989,0.74638210210359734,16.837414508624477,44709.883185961553,53432.894588580442,34.976685818149704,1512.3267637211604,1025.5391654607652
1.05,1.044928405085618,16.830211618213905,44703.148855838765,53434.045784714493,34.9769504488396,1512.3103584047212,1025.5423933285379
1.35,1.3434734460934164,16.819393554100419,44695.418574280135,53438.62592897132,34.979495878767445,1512.2856770505921,1025.5482259087696
1.65,1.64201804969854,16.812970966285651,44681.322195836081,53429.977783524664,34.972624890792218,1512.2634227552333,1025.5457887658195
1.9500000000000002,1.9405627303283781,16.814368215901574,44684.783660530135,53432.331477313783,34.97432402875797,1512.2745623944577,1025.5480870977785
2.25,2.2391066361045797,16.806287862599135,44677.150650338663,53433.529900065427,34.974565068991545,1512.2554723643439,1025.5515026240914
2.55,2.5376495134032484,16.801944754485714,44675.475334419556,53437.07762498955,34.976769195390993,1512.2498939680691,1025.5555434749797
2.85,2.8361914778511292,16.797292160361568,44671.275622161971,53438.001977226108,34.977029784768391,1512.2411504809479,1025.5581646411908
3.15,3.1347335979103765,16.792897874654216,44658.633349051343,53428.495773363305,34.969659978288831,1512.2244249001703,1025.5548647342755
3.4499999999999997,3.4332758005950352,16.788178008248792,44655.089080291473,53430.289628177576,34.970553298918659,1512.2162012005756,1025.557987341525
3.75,3.73181671228688,16.783247371855762,44655.736384037205,53437.369272207754,34.975307753334555,1512.2117728295134,1025.5641248144325
4.05,4.0303570497826851,16.782186834955375,44649.804045153942,53431.626522477149,34.970912462993986,1512.208508876578,1025.5623227051565
4.35,4.3288970765210077,16.778554517233278,44649.510988657268,53435.9212574477,34.9737090391505,1512.2057459036073,1025.5666502574716
4.6499999999999995,4.6274356040041136,16.776276172552937,44654.059825161152,53444.279763856648,34.979572363396741,1512.2105862598139,1025.573013804968
4.9499999999999993,4.9259745122079321,16.77482442963046,44637.530561538973,53426.35327735576,34.966220062805739,1512.1958581615404,1025.5644248736367
5.2499999999999991,5.2245133221358815,16.773011203094555,44647.588656561718,53440.711323743657,34.976511367354867,1512.2071844304212,1025.5740793989919
5.55,5.5230503930595605,16.770562055013322,44646.446989461845,53442.478138863538,34.977531085314709,1512.2059478287708,1025.5767632472926
5.85,5.821587162200033,16.770933747802005,44644.789596610135,53440.018681602196,34.97563555994374,1512.2098722598414,1025.5765432226433
6.1499999999999995,6.12012414114564,16.769682915790643,44640.043742079317,53435.9380128351,34.97244635591651,1512.2074173657736,1025.5757121178071
6.4499999999999993,6.4186613974755078,16.769210132309173,44636.561873909661,53432.37486717823,34.969687057570226,1512.2078028181936,1025.5750277800894
6.7499999999999991,6.7171983139201759,16.768745060457647,44639.165687936082,53436.08674778675,34.972261251697553,1512.2143351009258,1025.5784377340622
7.0499999999999989,7.0157341866620335,16.768126417330809,44642.663087031215,53441.064893573581,34.975753740231177,1512.2214584915591,1025.5825891277846
7.35,7.3142690170244373,16.768391787774533,44646.23553625671,53445.001860622884,34.978540378476744,1512.2304380749808,1025.5859900368016
7.6499999999999995,7.6128034557082485,16.76740728953579,44642.60721027929,53441.918121482056,34.976099228852526,1512.2296451176057,1025.5856706362354
7.9499999999999993,7.9113387685910235,16.766550921576272,44631.766053771244,53430.035601425283,34.96721657792223,1512.2218426314885,1025.5803739942437
8.25,8.209873143901163,16.764118588831874,44644.66123954895,53448.585470073063,34.980539932414715,1512.2347821352698,1025.5925029241739
8.5499999999999989,8.5084092420621626,16.763943209072441,44607.614246879508,53404.457073858546,34.948065239581481,1512.2019455933637,1025.5689272573031
8.85,8.806946012173821,16.762410043098416,44632.432571482481,53436.131350444368,34.971066164204473,1512.2287089548061,1025.5882764234277
9.1499999999999986,9.10547913888668,16.761288229669876,44638.105571539279,53444.358955174095,34.9769077657246,1512.2370113977777,1025.594350469308
9.45,9.4040112661640833,16.759955177410244,44636.238545199565,53443.829567787972,34.976316402287189,1512.2372899632974,1025.5955337924029
9.75,9.7025427522967327,16.757755516382819,44636.809865973046,53447.328902125359,34.978621876943357,1512.2382798404208,1025.5991461101219
10.049999999999999,10.001073550538822,16.753065647209489,44630.906584713324,53446.263038288031,34.977418808208711,1512.2277260961332,1025.6006506322333
10.35,10.299604449138865,16.75139815166769,44624.159658167904,53440.31773027638,34.972835609517382,1512.2224104695854,1025.5988469257607
10.649999999999999,10.598135117548981,16.748739250347175,44624.356087839464,53443.956499199405,34.975213109129164,1512.2220955581358,1025.6026226415063
10.95,10.896665330916189,16.746276069074828,44618.831799895372,53440.493382053421,34.972397561634651,1512.2164073774877,1025.6023638922816
11.25,11.195194944511215,16.739352592452018,44614.771566978008,53444.493979820341,34.974762126755977,1512.2032031541667,1025.6071340772039
11.549999999999999,11.493723788033199,16.736020028223979,44609.815227956678,53442.823726111514,34.973203836423885,1512.196331938246,1025.6080454745675
11.85,11.792251653714594,16.731459476289835,44611.047121824304,53450.140112126363,34.978152289718231,1512.1932249114443,1025.6142433142586
12.149999999999999,12.090779569973549,16.731450816598709,44600.080793999063,53437.01203920204,34.968412577104068,1512.1869919529506,1025.6080883223472
12.45,12.389308181683013,16.729264182215378,44597.933419067151,53437.239181028235,34.968319637755165,1512.1852617021059,1025.609855149859
12.75,12.687835856228862,16.726698767712946,44600.163717409516,53443.19708311071,34.972402236487305,1512.1871829931517,1025.6149180694274
13.049999999999999,12.98636254405621,16.724732422738619,44598.817055930733,53444.101934642764,34.972820267951064,1512.1867041261119,1025.6170254194965
13.35,13.284888321452618,16.720969616895502,44598.661120055083,53448.735167931256,34.975853513890463,1512.1838029766693,1025.6215642148572
13.649999999999999,13.583414276309783,16.716346043764585,44582.665513955479,53435.48721547165,34.9657246415078,1512.16318201853,1025.6161964221769
13.95,13.881940717648728,16.708482890458903,44573.8569742839,53435.001569525411,34.964737446265,1512.1432716641164,1025.6186118526923
14.249999999999998,14.180465918384289,16.703425663422962,44574.86873125509,53442.694481511862,34.969927508871109,1512.138931920683,1025.6251112922307
14.549999999999999,14.478989647781891,16.702129819941852,44577.228682407418,53447.184682028761,34.973016663024644,1512.1435440598373,1025.6291122202349
14.85,14.777512400338461,16.700492246233296,44577.797183238836,53449.965194673983,34.974830356454405,1512.145658167183,1025.6322138896589
