% Device,CC1449004
% File name,CC1449004_20171010_004855
% Cast time (UTC),2017-10-10 00:48:55
% Cast time (local),2017-10-10 11:48:55
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-36.3400582
% Start longitude,150.2297428
% Start altitude,5.25
% Start GPS horizontal error(Meter),4.630000114440918
% Start GPS vertical error(Meter),5.9800000190734863
% Start GPS number of satellites,4
% End latitude,-36.3408541
% End longitude,150.2285267
% End altitude,-9.5600004196167
% End GPS horizontal error(Meter),9.9700002670288086
% End GPS vertical error(Meter),12.710000038146973
% End GPS number of satellites,4
% Cast duration (Seconds),234
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-07-10
% Temperature calibration date,2017-07-08
% Pressure calibration date,2017-06-13
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14920106754433893,17.045623714953102,45726.000115174473,54376.646217894588,35.68351283174114,1513.7518918921417,1026.029780086923
0.44999999999999996,0.44760322895024418,17.071118207111208,45743.43133647331,54364.411127942607,35.676025101660755,1513.8244397367116,1026.0192489268354
0.74999999999999989,0.74600510939201947,17.069840855065966,45763.918732214705,54390.411042764747,35.694958842267368,1513.8473045579722,1026.0354133261385
1.05,1.0444052098607619,17.074441458413844,45763.133428870591,54383.530526605595,35.690071808062122,1513.860421980994,1026.0318799415695
1.35,1.3428052859302668,17.067203596710939,45757.469795619327,54386.155821392553,35.691422671349834,1513.8453414442447,1026.0359716711582
1.65,1.6412029181698338,17.054970624999196,45758.375437750918,54403.052430799064,35.702955040875096,1513.8270065311783,1026.0490766406094
1.9500000000000002,1.9395962306523036,17.029974829278046,45747.564061306817,54422.545156319124,35.715574898571859,1513.7717707194181,1026.066069674634
2.25,2.237988226499386,17.007302531436597,45703.445109966633,54399.404812727487,35.696965893080623,1513.6876343119318,1026.0585218910467
2.55,2.5363823044727947,16.998572544716321,45680.174874586577,54383.008881969043,35.684219708157592,1513.6518889547131,1026.0521409988894
2.85,2.8347769950373585,16.991177111371773,45672.025305422161,54382.882842612154,35.683530651739169,1513.6339545720482,1026.0546995479363
3.15,3.1331706577890177,16.97384603179766,45653.76063113672,54383.580428335437,35.682803126250839,1513.5862333375221,1026.0596000025437
3.4499999999999997,3.4315630251620992,16.962044867443264,45642.321479655417,54385.244598824989,35.683143329223761,1513.5562727759996,1026.0639987068455
3.75,3.7299545142507684,16.957703790197353,45637.573656421111,54385.213600611161,35.682720252882085,1513.5477690058524,1026.0660307544204
4.05,4.0283458051954684,16.952236120455151,45627.853630469195,54380.717036703893,35.678938525646835,1513.5320367873123,1026.0657519585216
4.35,4.3267363017012626,16.944615880517627,45624.712215011285,54386.851872689316,35.682837549166209,1513.518663924644,1026.0718849447726
4.6499999999999995,4.62512607197408,16.937000741308363,45611.362302658265,54380.811093305754,35.677779291774989,1513.4950264506292,1026.0711370655336
4.9499999999999993,4.923515185635476,16.927399340000942,45604.802826687614,54385.441912179653,35.680441323785956,1513.4742878265649,1026.0767912951183
5.2499999999999991,5.2219024846735032,16.919093081797932,45602.331882443083,54393.271096607386,35.685539811951578,1513.4602205322349,1026.08400762368
5.55,5.520288291049134,16.916473391092826,45602.029574473621,54396.309953122123,35.687485688766969,1513.4595805971776,1026.0874476704687
5.85,5.8186733255025347,16.914317538443655,45600.609472497978,54397.413760433134,35.688038352229363,1513.458732245811,1026.0897071445297
6.1499999999999995,6.1170575939863561,16.909406158743231,45597.11405967304,54399.618413777585,35.689220387279086,1513.4503434289425,1026.0931062869283
6.4499999999999993,6.4154411631431882,16.906440656162182,45593.9075889265,54399.642244756105,35.68892539087507,1513.4460932569261,1026.0949074365335
6.7499999999999991,6.71382463198006,16.90540061203016,45589.591763749217,54395.842896036418,35.685944130305877,1513.4445341785338,1026.0941868173668
7.0499999999999989,7.0122075937501789,16.903811557198996,45592.416392880448,54401.276039825738,35.68971829890625,1513.4490804700549,1026.0987854603784
7.35,7.3105903949692754,16.902680157936327,45584.440733741445,54393.228024947464,35.68360578280712,1513.4436538640935,1026.0956815984828
7.6499999999999995,7.6089731763878694,16.899453279562216,45583.59148810347,54396.40367615287,35.685611884242832,1513.441258517177,1026.0993122067252
7.9499999999999993,7.9073553784669537,16.897133996597749,45579.701562481139,54394.772642661468,35.684141717159456,1513.4375955291239,1026.1000566980652
8.25,8.2057374599152215,16.896402573701511,45577.582655441067,54393.193514960934,35.682813860478554,1513.4388584968388,1026.1005324375358
8.5499999999999989,8.5041189979521743,16.895291915921192,45579.65695815067,54397.111075897927,35.685504277714863,1513.4435951754492,1026.1041847244378
8.85,8.8024996001409477,16.892612365145837,45578.879472169552,54399.662492867894,35.687086816763809,1513.4423538964672,1026.1073595807122
9.1499999999999986,9.100879744841512,16.890354403095873,45574.50686880423,54397.375622866632,35.685138102496325,1513.4383242553151,1026.107721813
9.45,9.3992591598741146,16.888948595919587,45578.245637456486,54403.663931894771,35.689552837423982,1513.4441539735597,1026.1127687169496
9.75,9.6976381852140445,16.887691046030472,45571.7724954578,54397.570452592961,35.684869793886122,1513.4399870854,1026.1107926315951
10.049999999999999,9.9960170823676524,16.884719195207712,45570.704709386089,54400.155456455963,35.68645755110915,1513.4378731072191,1026.1140409369241
10.35,10.294394767379114,16.879472151491864,45569.836619372567,54405.934791311884,35.690245122435918,1513.4314557165887,1026.1195202500592
10.649999999999999,10.592772191210884,16.879039000663234,45562.539285469116,54397.785112437217,35.68410389586451,1513.4280878313036,1026.1162278795541
10.95,10.891149050045311,16.878943173105853,45571.805706784246,54408.972927533068,35.692208231702189,1513.4420828424165,1026.123796888267
11.25,11.189525233534216,16.878651021666364,45565.826271108941,54402.213490036942,35.687098814766522,1513.4403223263007,1026.1212634660733
11.549999999999999,11.48790174533076,16.877316303514679,45563.16599992702,54400.771135497758,35.685831738549091,1513.4398429999599,1026.1219293347265
11.85,11.786277864129717,16.877015183155002,45564.529634375591,54402.790450910514,35.687178799135218,1513.4454660877946,1026.1243570863067
12.149999999999999,12.084653364395392,16.87611665154229,45564.7649836512,54404.238772666926,35.68806655704212,1513.4487689961086,1026.1265742122537
12.45,12.383028411567882,16.874933512432044,45563.236898642223,54403.951334173675,35.68765887839092,1513.4497307170288,1026.1278640662633
12.75,12.681402922402864,16.874557111184124,45565.034232625971,54406.586452536081,35.689453894309615,1513.455641988023,1026.1306537726812
13.049999999999999,12.979777226053267,16.873710197040793,45560.609185532783,54402.403048527267,35.686202805799127,1513.454349003591,1026.1296796701777
13.35,13.278151648639001,16.873317198824235,45559.058550977774,54401.062058987096,35.685072257989049,1513.4568523890384,1026.1302262799202
13.649999999999999,13.576526101000285,16.873290473007014,45556.662872422807,54398.236152220023,35.682873697865304,1513.4592292656737,1026.12986543084
13.95,13.874900237486145,16.872845308052121,45558.565517312716,54401.086410709991,35.68482236626599,1513.4651104356394,1026.1327894841168
14.249999999999998,14.173273905150898,16.872003451203575,45556.61614268733,54399.852392754139,35.683740947252453,1513.4663228236445,1026.1334806199645
14.549999999999999,14.471646831016116,16.87079401198406,45560.258315600018,54405.773034253878,35.687897488464806,1513.4724441066817,1026.138282303217
14.85,14.770019094395051,16.870135199461487,45557.750296793223,54403.634093566485,35.686162530303143,1513.4734556368751,1026.138427907365
15.149999999999999,15.068391073658587,16.869533958918058,45558.365103978664,54405.149515970304,35.687119116071372,1513.4777294529265,1026.1406270864559
15.45,15.366762373149417,16.869578190725868,45560.851511429268,54408.061270510989,35.689145235285125,1513.4851685736162,1026.1434941403732
15.749999999999998,15.665133458689398,16.868479981435495,45556.03802080582,54403.740046217805,35.68577627056969,1513.4829853174076,1026.142489263902
16.05,15.963504368479946,16.864517410191446,45552.662814411065,54404.85837694355,35.686219101803651,1513.4765780065306,1026.1450935646353
16.35,16.261874457789549,16.864615645924175,45556.05685503938,54408.784306460715,35.688994637274476,1513.4850396121053,1026.1485233766136
16.650000000000002,16.560243885379659,16.864272449095342,45556.005895683069,54409.169478672622,35.689136905116186,1513.489153143548,1026.1500356788954
16.95,16.858613387806898,16.864585694108158,45552.184220191579,54404.19804106935,35.685382853761119,1513.4907648722922,1026.148399178687
17.25,17.156982172339639,16.861700352931646,45556.743440744089,54413.393455903511,35.691837036923204,1513.4944914085604,1026.1553642358715
17.55,17.455350389554582,16.862085561108707,45551.485203980439,54406.612324039714,35.686756767633618,1513.4947967307023,1026.1526919829025
17.85,17.753718994410324,16.863297614582194,45551.9042610476,54405.53761486357,35.685927992428617,1513.5024651141146,1026.1530884256961
18.150000000000002,18.052087169361371,16.8612846742786,45551.7057990789,54407.916710530219,35.687426492935614,1513.5031219852069,1026.1560396261023
18.45,18.350454618144056,16.860335218858552,45552.193462970747,54409.733253221741,35.688581430179092,1513.5065775083835,1026.1584739196544
18.75,18.648821734034339,16.859322373229237,45549.351397269085,54407.6549915674,35.686867711441415,1513.5065495039028,1026.1587199863573
19.05,18.947188560147758,16.857821692397494,45548.646809758931,54408.763963500511,35.687465818516138,1513.5077103888993,1026.1608577190145
19.35,19.245555482938151,16.858185843733185,45543.7454857736,54402.435948609324,35.682717639288015,1513.5083336510629,1026.1584455513248
19.650000000000002,19.543922449428148,16.858918884892532,45546.631240255367,54404.930243783463,35.6844820921659,1513.5175409831631,1026.1609476893664
19.95,19.842288643742382,16.858430074844051,45548.882672284228,54408.2549092758,35.686776538761734,1513.5236876802151,1026.1641475596257
20.25,20.140654402510116,16.857913563464912,45546.630369333994,54406.235872550431,35.685139188099527,1513.5252375644946,1026.1643341837078
20.55,20.4390200556671,16.85821590239852,45546.598560635772,54405.804904391422,35.6847238652798,1513.5306492386005,1026.1652645721351
20.85,20.737385906451863,16.857323857154775,45540.742025535757,54399.968546664946,35.680254408999573,1513.527820158745,1026.1633653425613
21.150000000000002,21.03575151896743,16.854791530084114,45541.283496679884,54403.906735440338,35.682864936042847,1513.5281926830066,1026.1672940926751
21.45,21.334116500502876,16.853971310769722,45539.528785527975,54402.87666777501,35.681934851150139,1513.5296421387245,1026.1680961631118
21.75,21.632481344947408,16.854672063449364,45539.449754837769,54401.87141569583,35.681123561664826,1513.5357958501388,1026.1686276485013
22.05,21.930845544601603,16.853769046172129,45542.757618979143,54406.996857006365,35.68471482586331,1513.5421871995932,1026.1729220202819
22.35,22.22920939779106,16.853911892674454,45538.875678728058,54402.173679132931,35.681058927772369,1513.5433996975989,1026.1714014184565
22.650000000000002,22.527572552627689,16.853573328432397,45546.54149729303,54411.771654335527,35.687976656594834,1513.5553051205832,1026.1781163630724
22.95,22.825934773377647,16.851446120814536,45541.96309501979,54409.067447217545,35.685728892664564,1513.5513162926291,1026.1782172997807
23.25,23.124296519610365,16.850784011225223,45544.502013697951,54412.9615367325,35.6884304939027,1513.5574097318877,1026.1817710277378
23.55,23.422658274162025,16.851153745900394,45538.411226121265,54405.204098563307,35.682631754911775,1513.5568435056591,1026.1785506325455
23.85,23.7210205247757,16.850113599654691,45535.462143910889,54403.032903937688,35.680847935491968,1513.55665190844,1026.1787492764393
24.150000000000002,24.019382362716847,16.8488925981866,45536.462890721865,54405.81585747272,35.682695354889354,1513.5600858392954,1026.1817798787188
24.45,24.317743376175084,16.849522416025049,45539.991782006633,54409.213239394616,35.685117102014765,1513.569738457303,1026.1848112980279
24.75,24.616104242803591,16.847893685193803,45533.528096635979,54403.608027643917,35.680768978994287,1513.5648346720316,1026.183180450372
