cast_time_UTC,file_name,cast_duration,depthmax,start_lon_deg_dec_min,start_lat_deg_dec_min,end_lon_deg_dec_min,end_lat_deg_dec_min,start_lon_dec_deg,start_lat_dec_deg,end_lon_dec_deg,end_lat_dec_deg
2015-09-28 01:59:00,CC1449004_20150928_015927,51.2,9.419477827,NA,NA,NA,NA,NA,NA,NA,NA
2015-09-28 02:01:00,CC1449004_20150928_020154,58.4,9.570278319,NA,NA,NA,NA,NA,NA,NA,NA
2015-10-01 20:42:00,CC1449004_20151001_204220,51.4,8.305887657,NA,NA,NA,NA,150.11,-36.34,NA,NA
2015-10-01 21:10:00,CC1449004_20151001_211026,95.2,20.20876995,NA,NA,NA,NA,150.15,-36.34,NA,NA
2015-10-01 23:39:00,CC1449004_20151001_233906,87.8,11.93188788,NA,NA,NA,NA,150.15,-36.28,NA,NA
2015-10-05 00:41:00,CC1449004_20151005_004125,173.6,24.46025494,NA,NA,NA,NA,NA,NA,NA,NA
2015-10-05 02:50:00,CC1449004_20151005_025044,126.2,34.79880626,NA,NA,NA,NA,NA,NA,NA,NA
2015-10-07 21:55:00,CC1449004_20151007_215501,178.4,23.42062826,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-17 00:20:00,CC1449004_20160917_002043,234.6,36.1270791,150 11.368,-36 20.406,NA,NA,NA,NA,NA,NA
2016-09-17 04:14:00,CC1449004_20160917_041449,235,34.02952351,150 13.796,-36 16.802,NA,NA,NA,NA,NA,NA
2016-09-17 04:49:00,CC1449004_20160917_044902,345.2,21.22018483,150 11.371,-36 16.818,NA,NA,NA,NA,NA,NA
2016-09-17 05:26:00,CC1449004_20160917_052648,114.8,15.41884756,150 08.997,-36 16.794,NA,NA,NA,NA,NA,NA
2016-09-20 05:17:00,CC1449004_20160920_051759,178.6,33.58683094,150 13.798,-36 20.404,150 13.727,-36 20.477,NA,NA,NA,NA
2016-09-20 05:48:00,CC1449004_20160920_054820,215.2,25.29021201,150 11.399,-36 20.396,150 11.313,-36 20.475,NA,NA,NA,NA
2016-09-20 06:21:00,CC1449004_20160920_062157,186,32.71162317,150 08.998,-36 20.400,150 08.962,-36 20.467,NA,NA,NA,NA
2016-09-20 21:24:00,CC1449004_20160920_212420,94.2,17.22424607,150 04.797,-36 24.003,150 04.784,-36 24.013,NA,NA,NA,NA
