"id","orig_id","year","track_file","gps_start_raw","gps_stop_raw"
"G001m01","0709M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120911-0709M-G.csv",2012-09-10 19:39:53,2012-09-11 06:05:21
"G001f01","0709F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120912-0709F-G.csv",2012-09-11 13:02:15,2012-09-12 10:59:58
"G002f01","0518F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120921-0518F-I.csv",2012-09-11 19:07:56,2012-09-18 21:13:13
"G003f01","66F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120912-66F-G.csv",2012-09-11 19:23:35,2012-09-12 10:59:46
"G004f01","110F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120913-110F-G.csv",2012-09-12 18:00:35,2012-09-13 09:59:53
"G005f01","0516F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120915-0516F-I.csv",2012-09-12 18:01:24,2012-09-13 04:55:16
"G006f01","809F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120913-809F-G.csv",2012-09-12 18:01:59,2012-09-13 04:12:53
"G007m01","0520M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120916-0520M-I.csv",2012-09-12 18:02:04,2012-09-12 19:07:18
"G008m01","90M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120913-90M-PG.csv",2012-09-12 18:02:06,2012-09-13 09:59:55
"G009f01","0514F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120915-0514F-I.csv",2012-09-12 18:02:28,2012-09-13 09:59:40
"G010f01","0535F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120913-0535F-G.csv",2012-09-12 18:02:29,2012-09-13 09:59:47
"G011f01","0512F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120913-0512F-G.csv",2012-09-12 18:02:51,2012-09-13 09:59:31
"G012f01","4F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120916-4F-I.csv",2012-09-12 18:03:17,2012-09-13 09:59:54
"G006m01","809M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120916-809M-G.csv",2012-09-13 18:01:35,2012-09-14 10:59:45
"G008f01","90F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120915-90F-PG.csv",2012-09-13 18:01:58,2012-09-14 10:58:53
"G004m01","110M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120915-110M-G.csv",2012-09-13 18:02:36,2012-09-14 10:58:50
"G010m01","0535M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120915-0535M-G.csv",2012-09-13 18:02:50,2012-09-14 10:59:55
"G013f01","0543F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120915-0543F-G.csv",2012-09-13 18:02:58,2012-09-14 10:59:52
"G014f01","0534F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120915-0534F-G.csv",2012-09-13 18:03:27,2012-09-14 03:19:50
"G015f01","0532F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120921-0532F-I.csv",2012-09-13 19:00:03,2012-09-14 07:12:49
"G016f01","0530F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120916-0530F-I.csv",2012-09-14 18:01:34,2012-09-15 22:22:48
"G009m01","0514M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120916-0514M-I.csv",2012-09-14 18:01:53,2012-09-15 21:19:48
"G011m01","0512M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120916-0512M-G.csv",2012-09-14 18:02:04,2012-09-15 14:54:40
"G013m01","0543M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120916-0543M-G.csv",2012-09-14 18:02:21,2012-09-15 02:50:19
"G017f01","444F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120916-444F-G.csv",2012-09-14 18:02:36,2012-09-15 10:59:51
"G005m01","0516M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120916-0516M-I.csv",2012-09-14 18:02:57,2012-09-15 14:52:56
"G007f01","0520F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120921-0520F-I.csv",2012-09-15 18:02:04,2012-09-16 19:29:21
"G018f01","0729F","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120917-0729F-G.csv",2012-09-15 18:02:34,2012-09-16 10:59:58
"G017m01","444M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120917-444M-G.csv",2012-09-15 18:02:52,2012-09-16 10:59:54
"G014m01","0534M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120917-0534M-G.csv",2012-09-15 18:06:33,2012-09-16 10:59:56
"G012m01","4M","2012","/Volumes/LP_MstrData/master-data/gemma/all_penguin_tracks/raw/20120917-4M-I.csv",2012-09-15 18:14:30,2012-09-16 14:02:16
