"id","meta_code","CEFAS_fn"
"G096m01","20151001-9M",NA
"G097m01","20151001-0704M","A11650_01-10-15_0704M.CSV"
"G098f01","20151001-7F",NA
"G099f01","20151001-11F","A09860_01-10-15_11F.CSV"
"G100f01","20151001-0710F","A11659_01-10-15_0710F.CSV"
"G098m01","20151001-7M","A11657_01-10-15_7M.CSV"
"G096f01","20151001-9F","A11648_01-10-15_9F.CSV"
"G101f01","20151001-0514F",NA
"G102f01","20151001-26F","A10199_01-10-15_26F.CSV"
"G103m01","20151001-6M","A09869_01-10-15_6M.CSV"
"G104f01","20151001-0517F","A11654_01-10-15_0517F.CSV"
"G105f01","20151001-0544F","A11645_01-10-15_0544F.CSV"
"G106m01","20151001-17M","A11646_01-10-15_17M.CSV"
"G104m01","20151002-0517M","A11670_02-10-15_0517M.CSV"
"G098m02","20151002-7M",NA
"G103f01","20151002-6F",NA
"G097f01","20151002-0704F","A11652_02-10-15_0704F.CSV"
"G100m01","20151002-0710M","A11662_02-10-15_0710M.CSV"
"G099m01","20151005-11M","A11661_05-10-15_11M.CSV"
"G102m01","20151002-26M",NA
"G107f01","20151004-0524F",NA
"G108m01","20151003-0539M","A11654_03-10-15_0539M.CSV"
"G101m01","20151003-0514M","A11669_03-10-15_0514M.CSV"
"G109f01","20151003-X3F","A11646_03-10-15_X3F.CSV"
"G110f01","20151003-X2F","A11667_03-10-15_X2F.CSV"
"G111m01","20151003-0519M","A11659_03-10-15_0519M.CSV"
"G112f01","20151004-0546F","A11657_05-10-15_0546F.CSV"
"G113m01","20151003-0504M",NA
"G114f01","20151007-4F","A11659_06-10-15_4F.CSV"
"G103f02","20151004-6F","A11671_04-10-15_6F.CSV"
"G110m01","20151004-X2M","A11662_04-10-15_X2M.CSV"
"G109m01","20151004-X3M","A11670_04-10-15_X3M.CSV"
"G101f02","20151004-0514F","A11645_04-10-15_0514F.CSV"
"G108f01","20151005-0539F","A11650_05-10-15_0539F.CSV"
"G105m01","20151004-0544M","A11666_04-10-15_0544M.CSV"
"G106f01","20151004-17F","A11665_04-10-15_17F.CSV"
"G113f01","20151004-0504F","A11663_04-10-15_0504F.CSV"
"G112m01","20151005-0546M","A11652_05-10-15_0546M.CSV"
"G115f01","20151004-0529F","A11653_04-10-15_0529F.CSV"
"G112f02","20151005-0546F","A11657_05-10-15_0546F.CSV"
"G116f01","20151006-20F","A11663_06-10-15_20F.CSV"
"G114m01","20151006-4M","A11645_06-10-15_4M.CSV"
"G117f01","20151006-13F","A11671_06-10-15_13F.CSV"
"G118m01","20151006-40M","A11666_06-10-15_40M.CSV"
"G119f01","20151006-0701F","A11670_06-10-15_0701F.CSV"
"G118f01","20151007-40F","A11662_06-10-15_40F.CSV"
"G119m01","20151007-0701M","A11646_06-10-15_0701M.CSV"
"G117m01","20151007-13M","A11654_07-10-15_13M.CSV"
"G116m01","20151009-20M","A11667_09-10-15_20M.CSV"
"G120f01","20160918-23F","A11653_20-09-16_23F.CSV"
"G121m01","20160919-14M","A10199_20-09-16_14M.CSV"
"G120m01","20160919-23M","A11669_20-09-16_23M.CSV"
"G120f02","20160920-23F","A11653_20-09-16_23F.CSV"
"G121f01","20160920-14F","A11659_20-09-16_14F.CSV"
"G121m02","20160921-14M","A10199_22-09-16_14M.CSV"
"G120m02","20160921-23M","A11669_22-09-16_23M.CSV"
"G121f02","20160926-14F","A10199_26-09-16_14F.CSV"
"G121m03","20160927-14M","A11653_27-09-16_14M.CSV"
"G120m03","20160927-23M","A11659_27-09-16_23M.CSV"
"G121f03","20160928-14F","A11667_28-09-16_14F.CSV"
"G122f01","20160928-8F","A11665_28-09-16_8F.CSV"
"G120f03","20160928-23F","A11669_28-09-16_23F.CSV"
"G120m04","20160929-23M","A11653_29-09-16_23M.CSV"
"G121m04","20160929-14M","A11654_29-09-16_14M.CSV"
"G122m01","20160929-8M","A11659_29-09-16_8M.CSV"
"G123f01","20160929-6F","A11662_29-09-16_6F.CSV"
"G123m01","20160930-6M","A11669_30-09-16_6M.CSV"
"G122f02","20160930-8F","A11649_30-09-16_8F.CSV"
"G120f04","20160930-23F","A11650_30-09-16_23F.CSV"
"G122m02","20161001-8M","A11654_01-10-16_8M.CSV"
"G123f02","20161001-6F","A11653_01-10-16_6F.CSV"
"G120m05","20161001-23M","A11665_01-10-16_23M.CSV"
"G123m02","20161003-6M","A11662_03-10-16_6M.CSV"
"G120f05","20161003-23F","A11669_03-10-16_23F.CSV"
"G124f01","20161003-17F","A11667_03-10-16_17F.CSV"
"G125f01","20161003-26F","A11650_03-10-16_26F.CSV"
"G125m01","20161003-26M","A11653_04-10-16_26M.CSV"
"G122m03","20161004-8M","A11659_04-10-16_8M.CSV"
"G124m01","20161003-17M","A11654_04-10-16_17M.CSV"
"G123f03","20161003-6F","A11665_03-10-16_6F.CSV"
"G122f03","20161007-8F","A11650_07-10-16_8F.CSV"
"G125f02","20161004-26F","A11662_05-10-16_26F.CSV"
"G123m03","20161005-6M","A11667_05-10-16_6M.CSV"
"G126m01","20161004-16M","A11647_05-10-16_16M.CSV"
"G124f02","20161005-17F","A11649_05-10-16_17F.CSV"
"G127f01","20161005-11F","A11665_06-10-16_11F.CSV"
"G126f01","20161005-16F","A11659_06-10-16_16F.CSV"
"G124m02","20161005-17M","A11669_06-10-16_17M.CSV"
"G123f04","20161006-6F",NA
"G125m02","20161005-26M","A11653_06-10-16_26M.CSV"
"G122m04","20161006-8M","A11646_06-10-16_8M.CSV"
"G128f01","20161005-24F","A11654_06-10-16_24F.CSV"
"G126m02","20161007-16M","A11647_07-10-16_16M.CSV"
"G128m01","20161007-24M","A11662_07-10-16_24M.CSV"
"G125f03","20161007-26F","A11649_07-10-16_26F.CSV"
"G124f03","20161007-17F","A11667_07-10-16_17F.CSV"
"G127m01","20161007-11M","A11657_07-10-16_11M.CSV"
"G124m03","20161008-17M","A11659_08-10-16_17M.CSV"
"G125m03","20161008-26M","A11646_08-10-16_26M.CSV"
"G127f02","20161008-11F","A11669_08-10-16_11F.CSV"
"G126f02","20161008-16F","A11654_08-10-16_16F.CSV"
"G128f02","20161008-24F","A11665_08-10-16_24F.CSV"
"G126m03","20161008-16M","A11648_09-10-16_16M.CSV"
"G127m02","20161008-11M","A11653_09-10-16_11M.CSV"
"G125f04","20161008-26F","A11667_09-10-16_26F.CSV"
"G129f01","20161008-19F","A11652_09-10-16_19F.CSV"
"G128m02","20161008-24M","A11660_09-10-16_24M.CSV"
"G124f04","20161008-17F","A11661_09-10-16_17F.CSV"
"G124m04","20161010-17M","A11659_10-10-16_17M.CSV"
"G127f03","20161010-11F","A11671_10-10-16_11F.CSV"
"G126f03","20161010-16F","A11665_10-10-16_16F.CSV"
"G129m01","20161010-19M","A11654_10-10-16_19M.CSV"
"G128f03","20161010-24F","A11669_10-10-16_24F.CSV"
"G128m03","20161011-24M","A11649_11-10-16_24M.CSV"
"G126m04","20161011-16M","A11646_11-10-16_16M.CSV"
"G125f05","20161011-26F","A11653_11-10-16_26F.CSV"
"G129f02","20161011-19F",NA
"G124f05","20161011-17F","A11667_11-10-16_17F.CSV"
"G127m03","20161011-11M","A11670_11-10-16_11M.CSV"
"G123f05","20161011-6F","A11665_12-10-16_6F.CSV"
"G129m02","20161012-19M","A11669_12-10-16_19M.CSV"
"G122m05","20161012-8M","A11650_12-10-16_8M.CSV"
"G123m04","20161012-6M","A11661_12-10-16_6M.CSV"
"G128m04","20161012-24M","A11649_12-10-16_24M.CSV"
"G122m06","20161013-8M","A11665_13-10-16_8M.CSV"
"G127f04","20161014-11F",NA
"G129m03","20161013-19M","A11646_13-10-16_19M.CSV"
"G123f06","20161013-6F","A11667_13-10-16_6F.CSV"
"G122f04","20161015-8F","A11661_17-10-16_8F.CSV"
"G128m05","20161015-24M","A11650_15-10-16_24M.CSV"
"G123m05","20161015-6M","A11669_15-10-16_6M.CSV"
"G127m04","20161014-11M","A11653_15-10-16_11M.CSV"
"G129f03","20161014-19F","A11649_15-10-16_19F.CSV"
"G122m07","20161016-8M","A11665_16-10-16_8M.CSV"
"G128f04","20161015-24F","A11654_15-10-16_24F.CSV"
"G123f07","20161015-6F","A11657_15-10-16_6F.CSV"
"G127f05","20161015-11F","A11646_15-10-16_11F.CSV"
"G129m04","20161016-19M","A11667_15-10-16_19M.CSV"
"G129f04","20161017-19F","A11650_17-10-16_19F.CSV"
"G125f06","20161017-26F","A11670_17-10-16_26F.CSV"
"G124f06","20161017-17F","A11653_17-10-16_17F.CSV"
"G127m05","20161017-11M","A11669_17-10-16_11M.CSV"
"G125m04","20161018-26M","A11646_18-10-16_26M.CSV"
"G126m05","20161018-16M","A11649_18-10-16_16M.CSV"
"G123f08","20161018-6F","A11667_18-10-16_6F.CSV"
"G129m05","20161018-19M","A11665_18-10-16_19M.CSV"
"G124m05","20161018-17M",NA
"G125f07","20161019-26F","A11670_19-10-16_26F.CSV"
"G124f07","20161019-17F","A11661_19-10-16_17F.CSV"
"G123m06","20161019-6M","A11654_19-10-16_6M.CSV"
"G129f05","20161019-19F","A11669_19-10-16_19F.CSV"
"G125m05","20161019-26M","A11667_20-10-16_26M.CSV"
"G129m06","20161019-19M",NA
"G123f09","20161019-6F","A11653_19-10-16_6F.CSV"
"G124m06","20161019-17M","A11647_20-10-16_17M.CSV"
"G126f04","20161021-16F","A11650_21-10-16_16F.CSV"
"G125f08","20161021-26F","A11665_21-10-16_26F.CSV"
"G124m07","20161021-17M","A11669_21-10-16_17M.CSV"
"G126m06","20161021-16M","A11649_21-10-16_16M.CSV"
"G123f10","20161021-6F","A11659_21-10-16_6F.CSV"
"G126f05","20161023-16F","A11670_23-10-16_16F.CSV"
"G125f09","20161023-26F","A11653_23-10-16_26F.CSV"
"G125m06","20161023-26M","A11649_23-10-16_26M.CSV"
"G123f11","20161023-6F","A11665_23-10-16_6F.CSV"
"G127f06","20161023-11F","A11650_23-10-16_11F.CSV"
"G124m08","20161023-17M","A11659_23-10-16_17M.CSV"
"G128f05","20161023-24F","A11647_23-10-16_24F.CSV"
"G126m07","20161023-16M","A11669_23-10-16_16M.CSV"
"G124f08","20161026-17F",NA
"G126f06","20161024-16F","A11671_24-10-16_16F.CSV"
"G123m07","20161024-6M","A11670_25-10-16_6M.CSV"
"G125f10","20161024-26F","A11648_24-10-16_26F.CSV"
"G128m06","20161024-24M","A11667_24-10-16_24M.CSV"
"G127m06","20161024-11M","A11662_24-10-16_11M.CSV"
"G125m07","20161026-26M","A11650_26-10-16_26M.CSV"
"G124m09","20161025-17M","A11649_25-10-16_17M.CSV"
"G129m07","20161025-19M","A11661_25-10-16_19M.CSV"
"G123f12","20161025-6F",NA
"G128f06","20161025-24F","A11659_25-10-16_24F.CSV"
"G127f07","20161025-11F","A11669_25-10-16_11F.CSV"
"G126m08","20161025-16M","A11665_25-10-16_16M.CSV"
"G127m07","20161026-11M",NA
"G125f11","20161026-26F",NA
"G129f06","20161027-19F",NA
"G128m07","20161026-24M","A11652_26-10-16_24M.CSV"
"G123m08","20161028-6M","A11666_28-10-16_6M.CSV"
"G125m08","20161027-26M","A11669_28-10-16_26M.CSV"
"G124f09","20161027-17F",NA
"G126f07","20161027-16F","A11671_27-10-16_16F.CSV"
"G127f08","20161027-11F","A11647_28-10-16_11F.CSV"
"G129m08","20161027-19M",NA
"G128f07","20161028-24F","A11661_28-10-16_24F.CSV"
"G127m08","20161029-11M","A11645_29-10-16_11M.CSV"
"G123f13","20161028-6F","A11652_28-10-16_6F.CSV"
"G125f12","20161028-26F","A11649_28-10-16_26F.CSV"
"G126m09","20161028-16M","A11650_28-10-16_16M.CSV"
"G129f07","20161028-19F","A11660_28-10-16_19F.CSV"
"G123m09","20161031-6M","A11669_31-10-16_6M.CSV"
"G125m09","20161031-26M","A11661_31-10-16_26M.CSV"
"G124m10","20161029-17M","A11659_29-10-16_17M.CSV"
"G127f09","20161031-11F","A11647_31-10-16_11F.CSV"
"G128m08","20161029-24M","A11663_29-10-16_24M.CSV"
"G126f08","20161029-16F","A11662_29-10-16_16F.CSV"
"G126m10","20161031-16M","A11649_31-10-16_16M.CSV"
"G127m09","20161031-11M","A11650_31-10-16_11M.CSV"
"G123f14","20161031-6F","A11652_31-10-16_6F.CSV"
"G128f08","20161101-24F","A11654_01-11-16_24F.CSV"
"G129m09","20161101-19M","A11666_01-11-16_19M.CSV"
"G128m09","20161101-24M","A11659_01-11-16_24M.CSV"
"G125m10","20161101-26M","A11663_01-11-16_26M.CSV"
