"survey_id","transect_id","file_name","cast_time_UTC"
"2015_S1","T1S1","CC1449004_20150930_203542",2015-09-30 20:35:42
"2015_S1","T1S2","CC1449004_20150930_210816",2015-09-30 21:08:16
"2015_S1","T1S3","CC1449004_20150930_214032",2015-09-30 21:40:32
"2015_S1","T1S4","CC1449004_20150930_221350",2015-09-30 22:13:50
"2015_S1","T1S5","CC1449004_20150930_224949",2015-09-30 22:49:49
"2015_S1","T2S5","CC1449004_20150930_231453",2015-09-30 23:14:53
"2015_S1","T2S4","CC1449004_20150930_234744",2015-09-30 23:47:44
"2015_S1","T2S3","CC1449004_20151001_002343",2015-10-01 00:23:43
"2015_S1","T2S2","CC1449004_20151001_005359",2015-10-01 00:53:59
"2015_S1","T2S1","CC1449004_20151001_012516",2015-10-01 01:25:16
"2015_S1","T3S1","CC1449004_20151001_060458",2015-10-01 06:04:58
"2015_S1","T3S2","CC1449004_20151001_064142",2015-10-01 06:41:42
"2015_S1","T3S3","CC1449004_20151001_071536",2015-10-01 07:15:36
"2015_S1","T3S4","CC1449004_20151001_074524",2015-10-01 07:45:24
"2015_S1","T4S1","CC1449004_20151001_204220",2015-10-01 20:42:20
"2015_S1","T4S2","CC1449004_20151001_211026",2015-10-01 21:10:26
"2015_S1","T4S3","CC1449004_20151001_213753",2015-10-01 21:37:53
"2015_S1","T4S4","CC1449004_20151001_220723",2015-10-01 22:07:23
"2015_S1","T5S3","CC1449004_20151001_222435",2015-10-01 22:24:35
"2015_S1","T5S2","CC1449004_20151001_225752",2015-10-01 22:57:52
"2015_S1","T5S1","CC1449004_20151001_232557",2015-10-01 23:25:57
"2015_S1","T6S1","CC1449004_20151001_233906",2015-10-01 23:39:06
"2015_S1","T6S2","CC1449004_20151002_001239",2015-10-02 00:12:39
"2015_S1","T6S3","CC1449004_20151002_004211",2015-10-02 00:42:11
"2015_S1","T7S2","CC1449004_20151002_010453",2015-10-02 01:04:53
"2016_S1","T1S1","CC1449004_20160915_220037",2016-09-15 22:00:37
"2016_S1","T1S2","CC1449004_20160915_224139",2016-09-15 22:41:39
"2016_S1","T1S3","CC1449004_20160915_231846",2016-09-15 23:18:46
"2016_S1","T1S4","CC1449004_20160915_235822",2016-09-15 23:58:22
"2016_S1","T1S5","CC1449004_20160916_003529",2016-09-16 00:35:29
"2016_S1","T2S5","CC1449004_20160916_010124",2016-09-16 01:01:24
"2016_S1","T2S4","CC1449004_20160916_013926",2016-09-16 01:39:26
"2016_S1","T2S3","CC1449004_20160916_020912",2016-09-16 02:09:12
"2016_S1","T2S2","CC1449004_20160916_024115",2016-09-16 02:41:15
"2016_S1","T2S1","CC1449004_20160916_032122",2016-09-16 03:21:22
"2016_S1","T3S1","CC1449004_20160916_213656",2016-09-16 21:36:56
"2016_S1","T3S2","CC1449004_20160916_221426",2016-09-16 22:14:26
"2016_S1","T3S3","CC1449004_20160916_224901",2016-09-16 22:49:01
"2016_S1","T3S4","CC1449004_20160916_231800",2016-09-16 23:18:00
"2016_S1","T4S4","CC1449004_20160916_233327",2016-09-16 23:33:27
"2016_S1","T4S3","CC1449004_20160917_002043",2016-09-17 00:20:43
"2016_S1","T4S2","CC1449004_20160917_010327",2016-09-17 01:03:27
"2016_S1","T4S1","CC1449004_20160917_014757",2016-09-17 01:47:57
"2016_S1","T5S1","CC1449004_20160917_022054",2016-09-17 02:20:54
"2016_S1","T5S2","CC1449004_20160917_030114",2016-09-17 03:01:14
"2016_S1","T5S3","CC1449004_20160917_034510",2016-09-17 03:45:10
"2016_S1","T6S3","CC1449004_20160917_041449",2016-09-17 04:14:49
"2016_S1","T6S2","CC1449004_20160917_044902",2016-09-17 04:49:02
"2016_S1","T6S1","CC1449004_20160917_052648",2016-09-17 05:26:48
"2016_S1","T7S1","CC1449004_20160917_230225",2016-09-17 23:02:25
"2016_S1","T7S2","CC1449004_20160917_233541",2016-09-17 23:35:41
"2016_S1","T8S3","CC1449004_20160918_000710",2016-09-18 00:07:10
"2016_S1","T8S2","CC1449004_20160918_003644",2016-09-18 00:36:44
"2016_S1","T8S1","CC1449004_20160918_010502",2016-09-18 01:05:02
"2016_S1","T9S1","CC1449004_20160918_011800",2016-09-18 01:18:00
"2016_S1","T9S2","CC1449004_20160918_014607",2016-09-18 01:46:07
"2016_S1","T9S3","CC1449004_20160918_021356",2016-09-18 02:13:56
"2016_S1","T9S4","CC1449004_20160918_024104",2016-09-18 02:41:04
"2016_S2","T4S4","CC1449004_20161025_204134",2016-10-25 20:41:34
"2016_S2","T4S3","CC1449004_20161025_210853",2016-10-25 21:08:53
"2016_S2","T4S2","CC1449004_20161025_213250",2016-10-25 21:32:50
"2016_S2","T4S1","CC1449004_20161025_215400",2016-10-25 21:54:00
"2016_S2","T3S1","CC1449004_20161025_221722",2016-10-25 22:17:22
"2016_S2","T3S2","CC1449004_20161025_224038",2016-10-25 22:40:38
"2016_S2","T3S3","CC1449004_20161025_230342",2016-10-25 23:03:42
"2016_S2","T3S4","CC1449004_20161025_232712",2016-10-25 23:27:12
"2016_S2","T2S5","CC1449004_20161025_234737",2016-10-25 23:47:37
"2016_S2","T2S4","CC1449004_20161026_001241",2016-10-26 00:12:41
"2016_S2","T2S3","CC1449004_20161026_003642",2016-10-26 00:36:42
"2016_S2","T2S2","CC1449004_20161026_010310",2016-10-26 01:03:10
"2016_S2","T2S1","CC1449004_20161026_012844",2016-10-26 01:28:44
"2016_S2","T5S1","CC1449004_20161027_202439",2016-10-27 20:24:39
"2016_S2","T5S2","CC1449004_20161027_204537",2016-10-27 20:45:37
"2016_S2","T5S3","CC1449004_20161027_210818",2016-10-27 21:08:18
"2016_S2","T6S3","CC1449004_20161027_213208",2016-10-27 21:32:08
"2016_S2","T6S2","CC1449004_20161027_215557",2016-10-27 21:55:57
"2016_S2","T6S1","CC1449004_20161027_221948",2016-10-27 22:19:48
"2016_S2","T7S2","CC1449004_20161027_224714",2016-10-27 22:47:14
"2016_S2","T7S1","CC1449004_20161027_231015",2016-10-27 23:10:15
"2016_S2","T8S1","CC1449004_20161027_232945",2016-10-27 23:29:45
"2016_S2","T8S2","CC1449004_20161027_235115",2016-10-27 23:51:15
"2016_S2","T8S3","CC1449004_20161028_001411",2016-10-28 00:14:11
"2016_S2","T9S4","CC1449004_20161028_003850",2016-10-28 00:38:50
"2016_S2","T9S3","CC1449004_20161028_010257",2016-10-28 01:02:57
"2016_S2","T9S2","CC1449004_20161028_012928",2016-10-28 01:29:28
"2016_S2","T9S1","CC1449004_20161028_015412",2016-10-28 01:54:12
"2016_S2","T1S1","CC1449004_20161028_034201",2016-10-28 03:42:01
"2016_S2","T1S2","CC1449004_20161028_040542",2016-10-28 04:05:42
"2016_S2","T1S3","CC1449004_20161028_043212",2016-10-28 04:32:12
"2016_S2","T1S4","CC1449004_20161028_045651",2016-10-28 04:56:51
"2016_S2","T1S5","CC1449004_20161028_051840",2016-10-28 05:18:40
"2017_S1","T4S4","CC1449004_20170821_020437",2017-08-21 02:04:37
"2017_S1","T4S3","CC1449004_20170821_023234",2017-08-21 02:32:34
"2017_S1","T4S2","CC1449004_20170821_030410",2017-08-21 03:04:10
"2017_S1","T4S1","CC1449004_20170821_032848",2017-08-21 03:28:48
"2017_S1","T5S1","CC1449004_20170821_042747",2017-08-21 04:27:47
"2017_S1","T5S2","CC1449004_20170821_045716",2017-08-21 04:57:16
"2017_S1","T5S3","CC1449004_20170821_052117",2017-08-21 05:21:17
"2017_S1","T6S1","CC1449004_20170821_232018",2017-08-21 23:20:18
